level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1440	890	-1	
2	1	1	0	0	0	300	72	21	14	-1	
3	1	1	1	0	0	300	72	21	14	-1	
4	1	1	1	1	0	300	72	21	14	-1	
5	1	1	1	1	1	300	72	21	14	95.000000	 
2	1	2	0	0	0	322	91	2	6	-1	
3	1	2	1	0	0	322	91	2	6	-1	
4	1	2	1	1	0	322	91	2	6	-1	
5	1	2	1	1	1	322	91	2	6	95.000000	 
2	1	3	0	0	0	66	12	845	133	-1	
3	1	3	1	0	0	67	12	458	13	-1	
4	1	3	1	1	0	67	12	458	13	-1	
5	1	3	1	1	1	67	13	5	9	76.925453	1
5	1	3	1	1	2	117	13	5	9	55.710632	1
5	1	3	1	1	3	144	13	41	12	55.710632	export
5	1	3	1	1	4	194	13	57	9	93.280685	function
5	1	3	1	1	5	260	12	48	13	92.440758	Input({
5	1	3	1	1	6	318	12	34	10	91.962784	label
5	1	3	1	1	7	361	12	11	11	93.130219	}:
5	1	3	1	1	8	382	12	6	11	93.130219	{
5	1	3	1	1	9	397	12	40	10	95.683624	label:
5	1	3	1	1	10	447	12	42	13	92.944901	string
5	1	3	1	1	11	498	12	11	11	81.554955	})
5	1	3	1	1	12	520	12	5	11	89.725128	{
3	1	3	2	0	0	67	32	158	11	-1	
4	1	3	2	1	0	67	32	158	11	-1	
5	1	3	2	1	1	67	33	5	9	96.878853	2
5	1	3	2	1	2	117	33	5	9	96.878853	2
5	1	3	2	1	3	171	33	41	9	90.071495	return
5	1	3	2	1	4	222	32	3	11	90.071495	(
3	1	3	3	0	0	67	52	297	10	-1	
4	1	3	3	1	0	67	52	297	10	-1	
5	1	3	3	1	1	67	53	5	9	96.020927	3
5	1	3	3	1	2	117	53	5	9	96.020927	3
5	1	3	3	1	3	184	52	43	10	19.151402	<label
5	1	3	3	1	4	235	52	129	10	19.151402	className="block">
3	1	3	4	0	0	66	72	493	13	-1	
4	1	3	4	1	0	66	72	493	13	-1	
5	1	3	4	1	1	66	73	6	9	96.575371	4
5	1	3	4	1	2	116	73	6	9	96.575371	4
5	1	3	4	1	3	199	75	35	10	91.159462	<span
5	1	3	4	1	4	243	72	128	10	89.292824	className="text-sm
5	1	3	4	1	5	380	72	179	13	62.205360	text-text">{Label}</span>
3	1	3	5	0	0	66	92	845	53	-1	
4	1	3	5	1	0	66	92	845	13	-1	
5	1	3	5	1	1	66	93	6	10	95.778526	5
5	1	3	5	1	2	141	98	7	2	91.841217	-
5	1	3	5	1	3	199	93	42	12	92.620338	<input
5	1	3	5	1	4	250	92	107	10	78.754387	className="mt-1
5	1	3	5	1	5	364	92	44	10	70.260864	w-full
5	1	3	5	1	6	416	92	71	13	84.619667	bg-surface
5	1	3	5	1	7	496	92	70	13	43.494076	rounded-Ig
5	1	3	5	1	8	575	92	42	10	92.969170	border
5	1	3	5	1	9	626	93	27	12	92.819084	px-3
5	1	3	5	1	10	662	93	27	12	92.692451	py-2
5	1	3	5	1	11	698	92	143	13	81.527321	focus:border-primary
5	1	3	5	1	12	849	92	62	10	88.253395	disabled:
4	1	3	5	2	0	116	113	125	12	-1	
5	1	3	5	2	1	116	113	6	10	58.793297	5
5	1	3	5	2	2	141	116	7	7	58.793297	+
5	1	3	5	2	3	199	113	42	12	96.744728	<input
4	1	3	5	3	0	116	132	580	13	-1	
5	1	3	5	3	1	116	133	32	10	89.674812	6+
5	1	3	5	3	2	214	132	107	10	71.434486	className="mt-1
5	1	3	5	3	3	328	132	135	13	47.965168	w-full_bg-[#dc2626]
5	1	3	5	3	4	474	132	54	13	89.968346	p-[13px]
5	1	3	5	3	5	540	132	96	13	75.801186	rounded-[22px]
5	1	3	5	3	6	647	132	49	10	87.182205	border"
2	1	4	0	0	0	73	169	320	70	-1	
3	1	4	1	0	0	73	169	320	70	-1	
4	1	4	1	1	0	73	169	285	11	-1	
5	1	4	1	1	1	73	169	35	9	86.413040	Check
5	1	4	1	1	2	112	169	34	9	93.921783	failure
5	1	4	1	1	3	151	171	12	7	80.406013	on
5	1	4	1	1	4	168	169	18	9	80.406013	line
5	1	4	1	1	5	192	169	3	9	96.964256	6
5	1	4	1	1	6	202	171	9	7	93.305679	in
5	1	4	1	1	7	216	169	142	11	59.041248	sre/components/Input.tsx
4	1	4	1	2	0	75	194	277	16	-1	
5	1	4	1	2	1	75	194	16	16	53.457764	©)
5	1	4	1	2	2	102	196	46	11	96.779976	GitHub
5	1	4	1	2	3	152	196	51	11	93.154518	Actions
5	1	4	1	2	4	207	196	4	14	92.363335	/
5	1	4	1	2	5	215	196	137	14	92.363335	design-memory-gate
4	1	4	1	3	0	74	225	319	14	-1	
5	1	4	1	3	1	74	225	45	14	96.949127	Design
5	1	4	1	3	2	124	226	58	13	93.040215	Memory:
5	1	4	1	3	3	187	225	164	14	91.169884	tailwind.arbitrary-radius
5	1	4	1	3	4	356	225	37	14	95.602722	(new)
2	1	5	0	0	0	75	252	660	13	-1	
3	1	5	1	0	0	75	252	660	13	-1	
4	1	5	1	1	0	75	252	660	13	-1	
5	1	5	1	1	1	75	252	97	13	66.340988	rounded-[22px]
5	1	5	1	1	2	182	257	6	2	58.752903	-
5	1	5	1	1	3	196	252	50	13	91.610992	Replace
5	1	5	1	1	4	255	252	97	13	73.592743	rounded-[22px]
5	1	5	1	1	5	362	252	28	10	95.272614	with
5	1	5	1	1	6	399	255	13	7	91.661049	an
5	1	5	1	1	7	420	252	57	13	91.661049	approved
5	1	5	1	1	8	485	252	42	13	96.951790	design
5	1	5	1	1	9	536	252	35	10	96.951790	token
5	1	5	1	1	10	579	255	14	7	93.304276	or
5	1	5	1	1	11	601	252	85	10	88.498337	token-backed
5	1	5	1	1	12	695	252	40	10	96.113739	class.
2	1	6	0	0	0	73	312	331	70	-1	
3	1	6	1	0	0	73	312	331	70	-1	
4	1	6	1	1	0	73	312	285	11	-1	
5	1	6	1	1	1	73	312	35	9	86.413040	Check
5	1	6	1	1	2	112	312	34	9	93.921783	failure
5	1	6	1	1	3	151	314	12	7	80.406013	on
5	1	6	1	1	4	168	312	18	9	80.406013	line
5	1	6	1	1	5	192	312	3	9	96.964256	6
5	1	6	1	1	6	202	314	9	7	93.305679	in
5	1	6	1	1	7	216	312	142	11	59.041248	sre/components/Input.tsx
4	1	6	1	2	0	75	337	277	16	-1	
5	1	6	1	2	1	75	337	16	16	53.457764	©)
5	1	6	1	2	2	102	339	46	11	96.779976	GitHub
5	1	6	1	2	3	152	339	51	11	93.154518	Actions
5	1	6	1	2	4	207	339	4	14	92.363335	/
5	1	6	1	2	5	215	339	137	14	92.363335	design-memory-gate
4	1	6	1	3	0	74	368	330	14	-1	
5	1	6	1	3	1	74	368	45	14	96.812096	Design
5	1	6	1	3	2	124	369	58	13	93.223167	Memory:
5	1	6	1	3	3	187	368	175	14	91.356842	tailwind.arbitrary-spacing
5	1	6	1	3	4	367	368	37	14	96.820183	(new)
2	1	7	0	0	0	74	395	401	13	-1	
3	1	7	1	0	0	74	395	401	13	-1	
4	1	7	1	1	0	74	395	401	13	-1	
5	1	7	1	1	1	74	395	54	13	85.424042	p-[13px]
5	1	7	1	1	2	138	400	7	2	76.748627	-
5	1	7	1	1	3	153	395	49	13	93.303200	Replace
5	1	7	1	1	4	211	395	54	13	86.122124	p-[13px]
5	1	7	1	1	5	275	395	28	10	93.305374	with
5	1	7	1	1	6	312	395	27	13	82.843781	p-md
5	1	7	1	1	7	350	395	40	11	93.107338	(token
5	1	7	1	1	8	399	395	76	13	91.835922	spacing.md)
2	1	8	0	0	0	73	455	482	96	-1	
3	1	8	1	0	0	73	455	285	41	-1	
4	1	8	1	1	0	73	455	285	11	-1	
5	1	8	1	1	1	73	455	35	9	86.413040	Check
5	1	8	1	1	2	112	455	34	9	93.921783	failure
5	1	8	1	1	3	151	457	12	7	80.406013	on
5	1	8	1	1	4	168	455	18	9	80.406013	line
5	1	8	1	1	5	192	455	3	9	96.964256	6
5	1	8	1	1	6	202	457	9	7	93.305679	in
5	1	8	1	1	7	216	455	142	11	59.041248	sre/components/Input.tsx
4	1	8	1	2	0	75	480	277	16	-1	
5	1	8	1	2	1	75	480	16	16	53.457764	©)
5	1	8	1	2	2	102	482	46	11	96.779976	GitHub
5	1	8	1	2	3	152	482	51	11	93.154518	Actions
5	1	8	1	2	4	207	482	4	14	92.363335	/
5	1	8	1	2	5	215	482	137	14	92.363335	design-memory-gate
3	1	8	2	0	0	74	511	247	14	-1	
4	1	8	2	1	0	74	511	247	14	-1	
5	1	8	2	1	1	74	511	45	14	95.123367	Design
5	1	8	2	1	2	124	512	58	13	93.305016	Memory:
5	1	8	2	1	3	187	511	92	11	92.864899	color.raw-hex
5	1	8	2	1	4	284	511	37	14	95.112534	(new)
3	1	8	3	0	0	74	538	481	13	-1	
4	1	8	3	1	0	74	538	481	13	-1	
5	1	8	3	1	1	74	538	83	13	25.438814	bg-[#dc2626]
5	1	8	3	1	2	167	543	7	2	90.888298	-
5	1	8	3	1	3	182	538	49	13	93.252289	Replace
5	1	8	3	1	4	240	538	83	13	74.783646	bg-[#dc2626]
5	1	8	3	1	5	333	538	28	10	93.231483	with
5	1	8	3	1	6	370	539	49	12	92.256729	bg-text
5	1	8	3	1	7	429	538	41	11	93.295250	(token
5	1	8	3	1	8	478	538	77	11	92.104431	color.text)
2	1	9	0	0	0	116	582	299	13	-1	
3	1	9	1	0	0	116	582	299	13	-1	
4	1	9	1	1	0	116	582	299	13	-1	
5	1	9	1	1	1	116	583	32	10	89.815674	7+
5	1	9	1	1	2	214	582	56	13	86.251236	style={{
5	1	9	1	1	3	279	582	40	10	92.971977	color:
5	1	9	1	1	4	331	582	60	10	48.643333	'#b9icic'
5	1	9	1	1	5	402	582	13	11	80.284142	}}
2	1	10	0	0	0	73	619	284	70	-1	
3	1	10	1	0	0	73	619	284	70	-1	
4	1	10	1	1	0	73	619	284	11	-1	
5	1	10	1	1	1	73	619	35	9	85.781891	Check
