level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1440	1800	-1	
2	1	1	0	0	0	33	17	1359	33	-1	
3	1	1	1	0	0	33	17	1359	33	-1	
4	1	1	1	1	0	33	17	1359	33	-1	
5	1	1	1	1	1	33	20	30	30	51.566643	©)
5	1	1	1	1	2	89	29	77	13	0.000000	Paatform\
5	1	1	1	1	3	186	29	84	14	79.518646	Solutions
5	1	1	1	1	4	290	30	92	12	13.354187	Resources
5	1	1	1	1	5	377	16	7	38	33.284660	»
5	1	1	1	1	6	401	30	111	15	61.247654	OpenSource
5	1	1	1	1	7	532	29	90	16	73.960632	Enterprise
5	1	1	1	1	8	618	16	7	38	45.362415	»
5	1	1	1	1	9	643	29	48	16	83.852928	Pricing
5	1	1	1	1	10	884	17	11	33	86.547729	Q
5	1	1	1	1	11	903	29	50	14	94.572311	Search
5	1	1	1	1	12	961	34	11	8	92.506104	or
5	1	1	1	1	13	977	31	28	14	92.506104	jump
5	1	1	1	1	14	1012	17	24	33	92.876175	to...
5	1	1	1	1	15	1178	32	5	9	43.225021	7)\
5	1	1	1	1	16	1222	30	43	14	75.258675	Signin
5	1	1	1	1	17	1284	16	9	33	87.032181	|
5	1	1	1	1	18	1303	30	48	14	74.962936	signup
5	1	1	1	1	19	1358	16	6	33	95.806747	|
5	1	1	1	1	20	1372	16	6	33	74.543770	|
2	1	2	0	0	0	34	94	1354	20	-1	
3	1	2	1	0	0	34	94	1354	20	-1	
4	1	2	1	1	0	34	94	1354	20	-1	
5	1	2	1	1	1	34	95	12	15	13.308601	@
5	1	2	1	1	2	57	95	130	15	90.070419	derinbarutcu17
5	1	2	1	1	3	192	95	5	19	88.141151	/
5	1	2	1	1	4	202	95	207	19	91.745010	design-memory-demo
5	1	2	1	1	5	425	98	34	9	70.874443	(Public
5	1	2	1	1	6	1075	94	14	16	49.142952	©
5	1	2	1	1	7	1099	96	73	10	88.423363	Notifications
5	1	2	1	1	8	1208	95	48	14	28.021231	Fork
5	1	2	1	1	9	1268	97	7	9	78.157066	0
5	1	2	1	1	10	1318	94	14	13	23.431667	vw
5	1	2	1	1	11	1344	97	24	9	74.784599	Star
5	1	2	1	1	12	1381	97	7	9	74.784599	0
2	1	3	0	0	0	41	150	799	16	-1	
3	1	3	1	0	0	41	150	799	16	-1	
4	1	3	1	1	0	41	150	799	16	-1	
5	1	3	1	1	1	41	153	14	10	81.404160	<>
5	1	3	1	1	2	65	152	34	11	81.404160	Code
5	1	3	1	1	3	123	150	16	16	92.727798	©
5	1	3	1	1	4	149	153	40	10	84.574287	Issues
5	1	3	1	1	5	217	151	13	14	44.558277	[1]
5	1	3	1	1	6	240	152	86	14	79.808884	Pullrequests
5	1	3	1	1	7	342	153	4	9	83.144020	1
5	1	3	1	1	8	379	150	16	16	83.144020	©
5	1	3	1	1	9	404	152	48	11	91.832909	Actions
5	1	3	1	1	10	478	150	16	16	38.293755	[F
5	1	3	1	1	11	504	152	52	14	79.219948	Projects
5	1	3	1	1	12	582	150	14	15	81.227402	©
5	1	3	1	1	13	609	152	127	14	89.510429	Security
5	1	3	1	1	14	667	142	22	31	75.792732	and
5	1	3	1	1	15	693	152	43	14	49.336769	quality
5	1	3	1	1	16	764	151	16	14	9.997511	|~
5	1	3	1	1	17	790	152	50	14	87.565331	Insights
2	1	4	0	0	0	32	212	1352	32	-1	
3	1	4	1	0	0	32	212	1352	32	-1	
4	1	4	1	1	0	32	212	1352	32	-1	
5	1	4	1	1	1	32	215	58	24	93.114044	feat:
5	1	4	1	1	2	100	215	89	29	93.114044	restyle
5	1	4	1	1	3	198	215	67	29	93.314659	input
5	1	4	1	1	4	273	215	56	24	96.794830	with
5	1	4	1	1	5	339	217	91	22	96.414108	accent
5	1	4	1	1	6	439	215	67	24	96.201157	color
5	1	4	1	1	7	514	215	29	23	96.607910	#1
5	1	4	1	1	8	1295	208	7	41	63.217545	|
5	1	4	1	1	9	1299	212	85	28	42.100224	Newissue
2	1	5	0	0	0	28	250	644	38	-1	
3	1	5	1	0	0	28	250	644	38	-1	
4	1	5	1	1	0	28	250	644	38	-1	
5	1	5	1	1	1	28	250	10	38	44.890282	|
5	1	5	1	1	2	47	250	54	38	32.929390	Topen
5	1	5	1	1	3	122	262	101	11	87.814407	derinbarutcu17
5	1	5	1	1	4	228	264	53	9	96.482796	wants
5	1	5	1	1	5	270	251	13	30	94.672882	to
5	1	5	1	1	6	287	265	39	11	94.672882	merge
5	1	5	1	1	7	335	263	4	10	95.233963	3
5	1	5	1	1	8	344	263	54	10	90.309875	commits
5	1	5	1	1	9	403	264	23	9	96.852219	into
5	1	5	1	1	10	434	264	28	9	96.158882	main
5	1	5	1	1	11	471	263	29	10	92.817085	from
5	1	5	1	1	12	509	264	135	12	65.240669	drift/input-styling
5	1	5	1	1	13	656	260	16	16	17.460909	(O)
2	1	6	0	0	0	1339	318	89	17	-1	
3	1	6	1	0	0	1339	318	89	17	-1	
4	1	6	1	1	0	1339	318	89	17	-1	
5	1	6	1	1	1	1339	318	89	17	95.000000	 
2	1	7	0	0	0	33	321	583	64	-1	
3	1	7	1	0	0	33	321	583	64	-1	
4	1	7	1	1	0	33	321	583	16	-1	
5	1	7	1	1	1	33	322	16	14	16.941853	@
5	1	7	1	1	2	58	324	83	10	94.457146	Conversation
5	1	7	1	1	3	157	325	7	9	80.353333	0
5	1	7	1	1	4	205	325	16	8	38.048409	©
5	1	7	1	1	5	230	324	56	10	95.089836	Commits
5	1	7	1	1	6	302	325	6	9	83.656471	3
5	1	7	1	1	7	351	321	70	16	1.154079	Checks
5	1	7	1	1	8	437	325	4	9	79.727226	1
5	1	7	1	1	9	460	313	11	31	79.727226	|
5	1	7	1	1	10	484	321	14	16	0.000000	[2
5	1	7	1	1	11	508	323	88	14	89.854073	Fileschanged
5	1	7	1	1	12	612	325	4	9	95.239021	1
4	1	7	1	2	0	33	369	470	16	-1	
5	1	7	1	2	1	33	373	160	11	96.663055	Changes
5	1	7	1	2	2	85	363	25	26	86.858986	from
5	1	7	1	2	3	113	363	18	26	86.858986	all
5	1	7	1	2	4	135	373	50	11	88.336868	commits
5	1	7	1	2	5	189	363	5	26	82.111031	+
5	1	7	1	2	6	204	363	25	26	69.371315	File
5	1	7	1	2	7	232	363	38	26	26.789536	filter
5	1	7	1	2	8	290	373	94	9	0.155191	Conversationsy
5	1	7	1	2	9	402	373	58	11	2.482700	Jumptoy
5	1	7	1	2	10	478	369	25	16	0.000000	{t+
2	1	8	0	0	0	54	420	285	16	-1	
3	1	8	1	0	0	54	420	1337	16	-1	
4	1	8	1	1	0	54	420	285	16	-1	
5	1	8	1	1	1	54	424	28	9	26.130266	V5
5	1	8	1	1	2	91	425	17	8	0.000000	mms
5	1	8	1	1	3	143	424	172	12	41.689701	sre/components/Input.tsx
5	1	8	1	1	4	323	420	16	16	14.184170	(C)
5	1	8	1	1	5	1375	427	16	3	17.258615	we
2	1	9	0	0	0	155	459	115	11	-1	
3	1	9	1	0	0	53	459	217	11	-1	
4	1	9	1	1	0	155	459	115	11	-1	
5	1	9	1	1	1	53	465	18	3	21.419140	see
5	1	9	1	1	2	103	465	18	3	26.457386	see
5	1	9	1	1	3	156	451	49	28	30.667391	@@-1,8
5	1	9	1	1	4	214	459	34	11	90.424667	+1,11
5	1	9	1	1	5	256	451	14	28	61.946396	@@
2	1	10	0	0	0	180	518	188	18	-1	
3	1	10	1	0	0	180	518	188	18	-1	
4	1	10	1	1	0	180	518	188	18	-1	
5	1	10	1	1	1	180	518	188	18	95.000000	 
2	1	11	0	0	0	300	542	20	10	-1	
3	1	11	1	0	0	300	542	20	10	-1	
4	1	11	1	1	0	300	542	20	10	-1	
5	1	11	1	1	1	300	542	20	10	95.000000	 
2	1	12	0	0	0	900	561	20	11	-1	
3	1	12	1	0	0	900	561	20	11	-1	
4	1	12	1	1	0	900	561	20	11	-1	
5	1	12	1	1	1	900	561	20	11	95.000000	 
2	1	13	0	0	0	66	482	948	133	-1	
3	1	13	1	0	0	67	482	458	13	-1	
4	1	13	1	1	0	67	482	458	13	-1	
5	1	13	1	1	1	67	483	5	9	76.925453	1
5	1	13	1	1	2	117	483	5	9	55.710632	1
5	1	13	1	1	3	144	483	41	12	55.710632	export
5	1	13	1	1	4	194	483	57	9	93.280685	function
5	1	13	1	1	5	260	482	48	13	92.440758	Input({
5	1	13	1	1	6	318	482	34	10	91.962784	label
5	1	13	1	1	7	361	482	11	11	93.130219	}:
5	1	13	1	1	8	382	482	6	11	93.130219	{
5	1	13	1	1	9	397	482	40	10	95.683624	label:
5	1	13	1	1	10	447	482	42	13	92.944901	string
5	1	13	1	1	11	498	482	11	11	81.554955	})
5	1	13	1	1	12	519	482	6	11	89.725128	{
3	1	13	2	0	0	67	502	158	11	-1	
4	1	13	2	1	0	67	502	158	11	-1	
5	1	13	2	1	1	67	503	5	9	96.878853	2
5	1	13	2	1	2	117	503	5	9	96.878853	2
5	1	13	2	1	3	171	503	41	9	90.071495	return
5	1	13	2	1	4	222	502	3	11	90.071495	(
3	1	13	3	0	0	67	523	55	9	-1	
4	1	13	3	1	0	67	523	55	9	-1	
5	1	13	3	1	1	67	523	5	9	96.020927	3
5	1	13	3	1	2	117	523	5	9	96.020927	3
3	1	13	4	0	0	66	542	493	13	-1	
4	1	13	4	1	0	66	542	493	13	-1	
5	1	13	4	1	1	66	543	6	9	96.575371	4
5	1	13	4	1	2	116	543	6	9	96.575371	4
5	1	13	4	1	3	199	545	35	10	91.159462	<span
5	1	13	4	1	4	243	542	128	10	89.292824	className="text-sm
5	1	13	4	1	5	379	542	180	13	62.205360	text-text">{Label}</span>
3	1	13	5	0	0	66	562	948	53	-1	
4	1	13	5	1	0	66	562	948	13	-1	
5	1	13	5	1	1	66	563	6	10	95.778526	5
5	1	13	5	1	2	141	568	7	2	91.841217	-
5	1	13	5	1	3	199	563	42	12	92.747330	<input
5	1	13	5	1	4	250	562	107	10	80.056969	className="mt-1
5	1	13	5	1	5	364	562	44	10	66.878433	w-full
5	1	13	5	1	6	416	562	71	13	90.561043	bg-surface
5	1	13	5	1	7	496	562	70	13	26.690311	rounded-Ig
5	1	13	5	1	8	575	562	42	10	93.091843	border
5	1	13	5	1	9	626	563	27	12	92.964043	px-3
5	1	13	5	1	10	662	563	27	12	92.631355	py-2
5	1	13	5	1	11	698	562	143	13	82.261292	focus:border-primary
5	1	13	5	1	12	849	562	50	10	20.746761	disabled:
5	1	13	5	1	13	922	562	70	13	20.746761	opacity-50"
5	1	13	5	1	14	1001	563	13	10	89.125252	/>
4	1	13	5	2	0	116	583	125	12	-1	
5	1	13	5	2	1	116	583	6	10	58.793297	5
5	1	13	5	2	2	141	586	7	7	58.793297	+
5	1	13	5	2	3	199	583	42	12	96.744728	<input
4	1	13	5	3	0	116	602	580	13	-1	
5	1	13	5	3	1	116	603	32	10	89.674812	6+
5	1	13	5	3	2	214	602	107	10	71.434486	className="mt-1
5	1	13	5	3	3	328	602	135	13	47.965168	w-full_bg-[#dc2626]
5	1	13	5	3	4	474	602	54	13	89.968346	p-[13px]
5	1	13	5	3	5	540	602	96	13	75.801186	rounded-[22px]
5	1	13	5	3	6	647	602	49	10	87.182205	border"
2	1	14	0	0	0	1372	627	23	24	-1	
3	1	14	1	0	0	1372	627	23	24	-1	
4	1	14	1	1	0	1372	627	23	24	-1	
5	1	14	1	1	1	1372	627	23	24	95.000000	 
2	1	15	0	0	0	53	639	340	70	-1	
3	1	15	1	0	0	53	639	340	70	-1	
4	1	15	1	1	0	53	639	305	11	-1	
5	1	15	1	1	1	53	639	8	9	0.000000	X_
5	1	15	1	1	2	73	639	35	9	95.725449	Check
5	1	15	1	1	3	112	639	34	9	96.074715	failure
5	1	15	1	1	4	151	641	12	7	96.739433	on
5	1	15	1	1	5	168	639	19	9	92.347923	line
5	1	15	1	1	6	191	639	6	9	96.961792	6
5	1	15	1	1	7	202	641	9	7	91.999977	in
5	1	15	1	1	8	216	639	142	11	77.590248	src/components/Input.tsx
4	1	15	1	2	0	75	664	277	16	-1	
5	1	15	1	2	1	75	664	16	16	53.457764	©)
5	1	15	1	2	2	102	666	46	11	96.779976	GitHub
5	1	15	1	2	3	152	666	51	11	93.154518	Actions
5	1	15	1	2	4	207	666	4	14	92.363335	/
5	1	15	1	2	5	215	666	137	14	92.363335	design-memory-gate
4	1	15	1	3	0	74	695	319	14	-1	
5	1	15	1	3	1	74	695	45	14	96.949127	Design
5	1	15	1	3	2	124	696	58	13	93.040215	Memory:
5	1	15	1	3	3	192	695	159	14	91.169884	tailwind.arbitrary-radius
5	1	15	1	3	4	356	695	37	14	95.602722	(new)
2	1	16	0	0	0	75	722	660	13	-1	
3	1	16	1	0	0	75	722	660	13	-1	
4	1	16	1	1	0	75	722	660	13	-1	
5	1	16	1	1	1	75	722	97	13	66.340988	rounded-[22px]
5	1	16	1	1	2	182	727	6	2	58.752903	-
5	1	16	1	1	3	196	722	50	13	91.610992	Replace
